Component,Module,Harness,edk2 Source,INF
DeviceSecurityPkg,TestSignatureList,TestSignatureList,edk2/DeviceSecurityPkg/TestSignatureList,UefiHostFuzzTestCasePkg/TestCase/DeviceSecurityPkg/TestSignatureList/TestSignatureList.inf
FatPkg,FatPei,TestPeiGpt,edk2/FatPkg/FatPei,UefiHostFuzzTestCasePkg/TestCase/FatPkg/FatPei/TestPeiGpt.inf
MdeModulePkg,Bus/Ata/AhciPei,TestIdentifyAtaDevice,edk2/MdeModulePkg/Bus/Ata/AhciPei,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Bus/Ata/AhciPei/TestIdentifyAtaDevice.inf
MdeModulePkg,Bus/Usb/UsbBusDxe,TestUsb,edk2/MdeModulePkg/Bus/Usb/UsbBusDxe,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Bus/Usb/UsbBusDxe/TestUsb.inf
MdeModulePkg,Bus/Usb/UsbBusPei,TestPeiUsb,edk2/MdeModulePkg/Bus/Usb/UsbBusPei,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Bus/Usb/UsbBusPei/TestPeiUsb.inf
MdeModulePkg,Library/BaseBmpSupportLib,TestBmpSupportLib,edk2/MdeModulePkg/Library/BaseBmpSupportLib,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Library/BaseBmpSupportLib/TestBmpSupportLib.inf
MdeModulePkg,Universal/CapsulePei/Common,TestCapsulePei,edk2/MdeModulePkg/Universal/CapsulePei/Common,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Universal/CapsulePei/Common/TestCapsulePei.inf
MdeModulePkg,Universal/Disk/PartitionDxe,TestPartition,edk2/MdeModulePkg/Universal/Disk/PartitionDxe,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Universal/Disk/PartitionDxe/TestPartition.inf
MdeModulePkg,Universal/Disk/UdfDxe,TestFileName,edk2/MdeModulePkg/Universal/Disk/UdfDxe,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Universal/Disk/UdfDxe/TestFileName.inf
MdeModulePkg,Universal/Disk/UdfDxe,TestUdf,edk2/MdeModulePkg/Universal/Disk/UdfDxe,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Universal/Disk/UdfDxe/TestUdf.inf
MdeModulePkg,Universal/Variable/RuntimeDxe,TestVariableSmm,edk2/MdeModulePkg/Universal/Variable/RuntimeDxe,UefiHostFuzzTestCasePkg/TestCase/MdeModulePkg/Universal/Variable/RuntimeDxe/TestVariableSmm.inf
OvmfPkg,EmuVariableFvbRuntimeDxe,TestValidateTdxCfv,edk2/OvmfPkg/EmuVariableFvbRuntimeDxe,UefiHostFuzzTestCasePkg/TestCase/OvmfPkg/EmuVariableFvbRuntimeDxe/TestValidateTdxCfv.inf
OvmfPkg,Virtio10BlkDxe,TestVirtio10Blk,edk2/OvmfPkg/Virtio10BlkDxe,UefiHostFuzzTestCasePkg/TestCase/OvmfPkg/Virtio10BlkDxe/TestVirtio10Blk.inf
OvmfPkg,VirtioBlkDxe,TestVirtioBlk,edk2/OvmfPkg/VirtioBlkDxe,UefiHostFuzzTestCasePkg/TestCase/OvmfPkg/VirtioBlkDxe/TestVirtioBlk.inf
OvmfPkg,VirtioBlkReadWrite,TestVirtioBlkReadWrite,edk2/OvmfPkg/VirtioBlkReadWrite,UefiHostFuzzTestCasePkg/TestCase/OvmfPkg/VirtioBlkReadWrite/TestVirtioBlkReadWrite.inf
OvmfPkg,VirtioPciDeviceDxe,TestVirtioPciDevice,edk2/OvmfPkg/VirtioPciDeviceDxe,UefiHostFuzzTestCasePkg/TestCase/OvmfPkg/VirtioPciDeviceDxe/TestVirtioPciDevice.inf
SecurityPkg,Library/DxeTpm2MeasureBootLib,TestTcg2MeasureGptTable,edk2/SecurityPkg/Library/DxeTpm2MeasureBootLib,UefiHostFuzzTestCasePkg/TestCase/SecurityPkg/Library/DxeTpm2MeasureBootLib/TestTcg2MeasureGptTable.inf
SecurityPkg,Library/DxeTpm2MeasureBootLib,TestTcg2MeasurePeImage,edk2/SecurityPkg/Library/DxeTpm2MeasureBootLib,UefiHostFuzzTestCasePkg/TestCase/SecurityPkg/Library/DxeTpm2MeasureBootLib/TestTcg2MeasurePeImage.inf
SecurityPkg,Library/FmpAuthenticationLibPkcs7,TestFmpAuthenticationLibPkcs7,edk2/SecurityPkg/Library/FmpAuthenticationLibPkcs7,UefiHostFuzzTestCasePkg/TestCase/SecurityPkg/Library/FmpAuthenticationLibPkcs7/TestFmpAuthenticationLibPkcs7.inf
SecurityPkg,Library/FmpAuthenticationLibRsa2048Sha256,TestFmpAuthenticationLibRsa2048Sha256,edk2/SecurityPkg/Library/FmpAuthenticationLibRsa2048Sha256,UefiHostFuzzTestCasePkg/TestCase/SecurityPkg/Library/FmpAuthenticationLibRsa2048Sha256/TestFmpAuthenticationLibRsa2048Sha256.inf
SecurityPkg,Library/Tpm2CommandLib,TestTpm2CommandLib,edk2/SecurityPkg/Library/Tpm2CommandLib,UefiHostFuzzTestCasePkg/TestCase/SecurityPkg/Library/Tpm2CommandLib/TestTpm2CommandLib.inf
